text,label
"<porque> [<] estoy trabajando, the time is &-eh, no.",0
"you don't have time for studying?",1
"to study?",1
"because you, <you work> [>].",1
"<&+entonc because &+y> [<] because I work.",0
"you work, okay, <right> [>].",1
"<okay> [<].",0
"&-ha, &-ah, so you don't like university then?",1
"&=laughs, isn't now online one?",1
"like online one is like distanted one, it's like when you study whenever you have time.",1
"or you go to classes everyday?",1
"<you don't go> [>]?",1
"<&-hm> [<].",0
"you <don't go> [>]?",1
"<it's> [<] a distance one, do you know what distance university means?",1
"is at the one &-eh &-eh the one you don't need to go to classes everyday.",1
"okay, sí, &-eh, yes, &-eh, then, the common university is &-eh more difficult than UOC.",0
"&-hm, okay, &-ah, like, what &+i where are you from?",1
"I am &-eh from Galicia.",0
"Galicia, &-ah, where do you live?",1
"I live in Santiago de Compostela, a little town northwest of Spain, is a very beautiful town, and (.) do you know Santiago?",0
"&=laughs, no, rain, more rain.",0
"really?",1
"<I> [<].",1
"it's raining?",1
"<well> [<], &+w it's raining every day, or just day or?",1
"every day, every day, &=laughs.",0
"really?",1
"really?",1
"really.",0
"&-wow, well that is Spain, it's supposed to be sunny and nice weather &-hm and warm &=laughs.",1
"not like Scotland in here, (be)cause almost in, in Scotland, Glasgow, it rains every day almost <and it's cold> [>].",1
"the tiny, the tiny similar than Scotland.",0
"sorry?",1
"&-eh the &+t the weather, perdón, the weather <is> [>].",0
"<&-huhuh> [<].",1
"&-eh is similar of Scotland.",0
"&-oh, xxx you can move then, &=laughs.",1
"you &+d, you don't have beach and sun then?",1
"in <&+s> [>].",1
"<sorry> [<]?",0
"do you have beaches?",1
"beach.",1
"beach, <&-eh> [>], yea.",0
"I live, &-eh I live in a little city next to the &+San, next to Santiago.",0
"&-huhuh.",1
"&-eh, call Noia, &-eh, Noia have the beach.",0
"okay, xxx, &-ah &-oh, &-oh, still talking, &-ah, &-t the last question.",1
"<okay> [>].",0
"<it is> [<] the first time when use Skype?",1
"yes, is the first time.",0
"really?",1
"really.",0
"&-wow.",1
"I, I.",0
"&-huhuh?",1
"I &-eh &-eh &+b &-eh buy &-eh the micro and the &+sp the &+l the low speakers, &-eh, altavoces, espera, &-eh sorry, &-eh.",0
"<&-huhuh> [<].",1
"and &-eh <xxx> [>].",0
"microphone?",1
"you <bought> [>] microphone?",1
"<sorry> [<]?",0
"microphone?",0
"<and> [<] &-eh, love speakers, no?",0
"speakers?",1
"speakers.",0
"okay, for Skype.",1
"for Skype.",0
"okay, &=laughs, you did it well (be)cause I'm xxx a microhpone, somebody give it to me, so, (be)cause I, I'm, I'm not very good at computer neither.",1
"another?",0
"&-ah, we, we're going to do the pictures now.",1
"okay, thanks.",0
"okay, so you first.",1
"the first, <&-hm> [>].",0
"<yes> [<], you first.",1
"there are &-eh four &-eh motorcycles.",0
"yes?",1
"in front &-eh there &+a there is a red motorcycle.",0
"&-huhuh.",1
"next to &-eh a yellow Vespa.",0
"&-hm, yes.",1
"and (.) and &+th in, in, foreground, two motorcycle more.",0
"sorry?",1
"and next to, the lo Vespa.",0
"yellow &+motorcyc &+motorcyc?",0
"motorcycle.",0
"there are two, two motorcyle &-eh.",0
"the, do you see three motors?",1
"I call them a three.",1
"the, the yellow one, the, no, red <one> [>], yellow.",1
"<&-eh> [<], red one, yellow &+sec &-eh second yellow.",0
"third &-eh red, red, <and> [>].",0
"<yes> [<]?",1
"four red.",0
"you see four motorcycles?",1
"four motorcycles.",0
"okay, what else do you see?",1
"and, in foreground, there is a red car.",0
"where?",1
"in the what?",1
"in &+foregr in foreground, no?",0
"in the background.",1
"&-ah, background, background, background, background, background, background, background.",0
"yes, the background, you see a red car.",1
"red car.",0
"yes, okay, can you say that?",1
"sorry?",0
"can you repeat what I said to you?",1
"in the background, I see a red car.",1
"in the background, &+the there see a red car?",0
"I see <a red> [>].",1
"<I see> [<].",0
"yes.",1
"<in, in> [>] the background, I see a red car.",0
"<xxx> [<], yea, that's that's xxx, but, so we need to find the difference then, so I tell you, the red car, do you see?",1
"the red car, do you see?",0
"<sorry> [>]?",0
"<&-ah> [<], &-ah, perdón, okay, just, wait wait a minute, we do task two, now?",1
"xxx?",1
"two.",0
"we, I did task number one now, yes?",1
"yes.",0
"&-oh, yes, you're right, okay, &-eh, &-oh, what xxx ready.",1
"right, are you, you know what, I think I asked the wrong, the wrong questions.",1
"the wrong questions, okay.",0
"yes, so &-eh (.) I'm going to ask you one more question, one more question in English, what do you do in your spare time?",1
"do you do in spent time?",0
"yes, in the weekend, <when you're> [>] not working.",1
"<weekend> [<], &-ah, &-oh, okay, &-eh, I, I sit on the board, and &-eh play to football and basketball.",0
"&-huhuh, okay, right, now I'm going to do, I'm going to tell you what I'm seeing in my pictures, so (be)cause we need to find the difference in here, right?",1
"amarilla.",0
"<&-hm> [>].",0
"<&-eh> [<].",0
"<el color> [<], sí, &-eh, and the number of the &+motorcy motorcycle, there are, in my picture, there are four motorcycles.",0
"there are four, you should, we need to find only one, one difference, not two because this is only one.",1
"&-ah, I, only see xxx three motorbikes.",1
"three motorbxxx &+motor?",0
"<okay> [<].",0
"<&-ah> [<].",0
"carro.",0
"Mari Mar.",0
"<no> [<], I don't know.",0
"&-eh, con, con Talia, you know Talia?",1
"<okay> [<].",0
"&=hm?",1
"Galicia is very, Galicia is very beautiful &-eh.",0
"what?",1
"sorry?",1
"<&-huhuh> [<], &-huhuh.",1
"&-eh, Santiago is very beautiful.",0
"yea, but, you said it's raining, &=laughs, that that's not good, I mean, it's fine, but not if you xxx here, &=laughs, okay, but &-eh la segunda pregunta.",1
"okay.",0
"sorry?",0
"la, &+w we're going to do the second <question> [>], or picture.",1
"is that okay?",1
"okay.",0
"&-huhuh.",0
"y su (.) &-oh I forgot the tail, how do you say tail in Spanish?",1
"I always forget it.",1
"rabo.",0
"&-hm?",1
"rabo.",0
"drabo, okay.",1
"rabo.",0
"&-hm?",1
"ra.",1
"okay, <yes> [>].",0
"<&-oh> [>].",1
"<esa es> [<], is the different.",0
"the position of the?",0
"position.",1
"position, position.",0
"yes.",1
"okay, the third &-eh picture.",0
"yes, <you &+s> [>].",1
"<in English> [<].",0
"yes, it's a, so you <start> [>] first.",1
"<there> [<], there are, there are, &-eh nine spheres, esferas.",0
"yes, spheres.",1
"spheres.",0
"<&-huhuh> [>].",1
"<&-eh> [<], in the, &-oh, perdón, &-eh sorry, in the upper left hand corner, &-eh, there are, there is a green sphere.",0
"in the middle (.) no, next to the green sphere &-eh there is a blue esfera.",0
"yes.",1
"and next to, there is a red esfera.",0
"&-huhuh.",1
"in the second file, there is a violet esfera, <next to> [>].",0
"<purple> [<].",1
"purple?",0
"purple.",0
"purple, yes.",1
"purple xxx.",0
"&-huhuh, &-huhuh.",1
"next to yellow esfera, and next to blue esfera, and the third file &-eh there is a green esfera, next to red esfera, and purple esfera.",0
"&-huhuh.",1
"okay, and (.) &-eh the background.",0
"yes?",1
"&-eh, can you hear me?",0
"yes, yes, I <hear you> [>].",1
"<and the> [<] and the background is a (.) is &-eh a wallt, un muro, of &-eh squares, squares, &-eh cuadrados, squares. better.",0
"&-hm, squares.",1
"squares.",0
"and (.) &-eh (.) the, the, the bottom, and the floor, and the floor, is squares también, &-eh, too.",0
"sorry, say again?",1
"the (.) &-hm (.) can you say that again, please?",1
"sorry?",0
"&-eh, I, can you hear me?",0
"yes, but can you say what, that again, (be)cause I didn't know.",1
"<I didn't> [>] understand.",1
"<&-uh> [<], and this &-eh, and this shapes, and this shapes &-eh &-eh.",0
"&-huhuh?",1
"and this shapes &-eh are &-eh &-hm &-uf mate, &-eh, opacas, ¿cómo se dice?",0
"&+pa, ¿mates?",1
"&+s, opacas, &-eh mates, no reflecting, no reflecting nothing.",0
"reflection?",1
"reflection nothing, no reflection <nothing> [>].",0
"<you see> [<] no reflection in the balls?",1
"in the balls, no.",0
"&+y, &-eh, well, in, I think, in my picture, there are the same colours of the balls, the same number (.) &-t and are the &+re, I see reflections, &-ah, the reflection is that background, is &-ah &+th.",1
"in, in my picture, &-eh, the, the balls no reflecting, no reflecting &-eh &-eh the, the floor, ni the floor, no reflecting.",0
"you have no reflections in your balls?",1
"but I think that's the difference then, (be)cause my balls have the reflection of the background.",1
"is the different.",0
"yes.",1
"yes (.) okay, and the last pictures.",0
"&-hm?",1
"&-ha.",1
"&-ah, &+s, wait a minute, (be)cause, xxx, &-hm, &-hm, &-ah, telemi, xxx.",1
"&-hm (.) I lost, I lost the connection at the moment with all of these, right, &-eh, what is the next picture?",1
"<with a> [>]?",1
"<xxx> [<].",0
"&-t, yes, the one in the umbrellas?",1
"yea.",1
"<there are> [<], there are one, two, three, four, five, six, seven (.) seven umbrellas.",0
"yes?",1
"what else do you see?",1
"and.",0
"you, you say in English and I'll speak in Spanish, <&-eh> [>].",1
"<&+Spa Spanish> [<], in Spanish.",0
"Spanish, sí, pues, no, in here says to speak in in &+ca castellano.",1
"castellano, castellano, right, pues, you're going to start first, or?",1
"xxx.",1
"&-hm?",1
"can you hear me?",1
"hello?",1
"<&+t> [<].",1
"<&-eh> [<] dime.",0
"&-hm.",0
"&=laughs.",1
"a ver, &-eh, in English, in English.",0
"<okay> [>].",1
"<there are> [<] &-eh, there are six, seven umbrellas.",0
"&-eh one umbrella (.) is blue.",0
"I &+don, what?",1
"what?",0
"&eh, a ver, <&-eh> [>].",0
"<blue> [<]?",0
"&-ah, blue colour.",1
"purple.",1
"purple.",0
"sí (.) the <third> [>].",1
"<the xxx> [<], the third is black umbrella.",0
"yes.",1
"pnk umbrella the fourth.",0
"&-huhuh.",1
"and (.) five and six are, five six and six umbrella are transparent, transparent.",0
"the blue, <white> [>].",1
"<blue> [<]?",0
"&-hm, no, white, white.",0
"<xxx> [>].",1
"&-eh, <&-eh> [>].",0
"handle.",1
"handle.",0
"yes, the handle.",1
"the handle is white.",0
"yes, okay, yes.",1
"and the last umbrella is the &+hand the brown &-eh handle and (.) black.",0
"okay.",1
"yea.",0
"en la puerta, it's hanging on the handle of the door, <the black one> [>].",1
"<the handle of the door> [<]?",0
"&-huhuh.",1
"okay.",0
"it's hanging on the <handle> [>] of the door.",1
"<in> [<], in my, in my picture &-eh all umbrellas &-eh is &-eh handle in the window.",0
"&+th all &+um umbrellas hanging on the window, but my one, the last one, the &+fi seventh one, it's hanging on the handle of the door.",1
"okay, is the difference.",0
"yes, I think that's the difference, yes, &=laughs, <well> [>].",1
"<it's> [<] is very difficult, this &=laughs.",0
"but, what?",1
"&-eh que is, is very difficult, I, I am very nervous.",0
"yea, I can see you get banging on &+th, on the, on the table!",1
"&=laughs.",1
"I, I am blocked.",0
"you're blocked?",1
"why?",1
"what xxx it's practice your &+Eng, but your your English is very well, is good, <(be)cause> [>] as long as you &-eh doing the conversations, then, valid, that's good.",1
"<yes> [<], <but &-eh> [>].",0
"<it was &+val> [<].",1
"&-hm?",1
"but is me, my first, my first time, &-ahm, &-eh, I am very nervous, &=laughs.",0
"you shouldn't be, &=laughs, I'm not going to be bite, you know, &=laughs, we just speak in in English, and English is very easy to learn.",1
"and then a, it's a nice language to learn, and also, English is very used all over the world, so it's good to know in English.",1
"okay, <but> [>].",0
"<that's> [<], that's what I think, I don't know what you.",1
"&-f, &=laughs, &-eh, I am, I am very nervous &-eh because &-eh I am, no, because I, I not, I don't use &-eh I don't speak in English &-eh other times and, and is very difficult for me.",0
"okay, well, you should try to speak English every day.",1
"yea, &=laughs.",0
"to practice more and more then, <so you> [>].",1
"<yea, yea> [<].",0
"so you don't need to be nervous, <to get used to it> [>].",1
"<I was same like you> [>].",1
"<&+l &+l> [<] lo intentaré, I try, I try speaking, speaking in English, <xxx> [>].",0
"yes, <more> [<], you, you could teach yourself, you know?",1
"that's how I've done always, (be)cause when I came in &+Eng, in UK, I couldn't speak English at all, and I couldn't open my mouth, I was to, to, like, just like you, a xxx anyone, see.",1
"so, day by day, I learned, and the words come along now, themselves, so that's what you need to do, &=laughs, you could talk xxx you stay in the house like that's a chair, that's a house, that's a spoon, because you could &-eh &-t tell yourself what are you doing, I'm going bed, &-ahm, could look at the clock, it's ten o'clock in the evening, I'm going to bed, good night, &=laughs, you know?",1
"you could xxx yourself, I don't know.",1
"<&-ahm> [>].",0
"<or> [<] your xxx or that or, xxx somebody to xxx I don't know.",1
"okay.",0
"if you want, I don't know, that's what I've done, practice gets better, &=laughs.",1
"yes, &=laughs, &+per but &-eh I am I &-eh I, I, I, is very, it's very difficult, very difficult for &-eh I, I, I &+st I study, I study English in, in college, and school, and &-eh it's &-ah it's very difficult for me now, is very difficult.",0
"I know, you study a long time ago.",1
"okay, a long time, &-f, &-eh (.) &+whe twenty, twenty &+yea twenty years.",0
"&-oh, xxx, how old are you?",1
"sorry?",0
"how old are you?",1
"sí, &-eh, treinta y tres, I am thirty, thirty tres.",0
"thirty?",1
"thirty three.",0
"sí, there you go, see?",1
"you do know English, &=laughs.",1
"well, you do know English, but you're just scared to talk, that's not good, &=laughs.",1
"&-eh, I understand.",0
"okay, do you live yourself?",1
"with, alone?",1
"or?",1
"xxx?",1
"okay, but you can take yourself in English then on this hour, &=laughs.",1
"&=laughs.",0
"you could think, &=laughs, I don't know.",1
"okay.",0
"or you could, you could read books or listen to music or you could take to the, go to the library and take some easy, easy &-eh books in English.",1
"boots in English, &-eh.",0
"if you have them of course, I forgot &+y you're working, &=laughs, you know.",1
"working, I think, I think that &-eh &-eh I study English the best &-eh for is &-eh &-eh pues &-eh films and movies and &-eh &+subtit &+subt &-eh versión subtitulada, versión original, in original version, with subtitles.",0
"&-ah, the, the movie you watch are subtitles?",1
"&-eh, okay, ok.",0
"yes?",1
"yes.",0
"&-oh, okay, with this, you could learn, I think, I don't know.",1
"and songs, and &-f and other, other forms &-eh for &-eh study English, &-eh, but &-hm is difficult.",0
"&=laughs, is difficult, okay, what are you studying English for?",1
"I study English for?",0
"why?",1
"why are you &+st, your degree, or for your course?",1
"&-f &-eh for obligation, &-f.",0
"&-oh, what obligation?",1
"for <your work> [>]?",1
"<probably> [<].",0
"&-hm?",1
"<in my> [<], in my, in my university, the English is &-eh is &+su one subject &-eh for informática.",0
"okay, so you just study English for that (.) yes, pues, &-eh, no sé.",1
"&=laughs, okay, I, well I told you that, that you could do, should learn English (.) just speak <what> [>] English with yourself.",1
"<y> [<].",0
"if you want or, I don't know, that's how I learned.",1
"alone?",0
"can you hear me?",1
"no.",0
"&-oh, how about now?",1
"&-uh, how about now?",1
"can you hear me now?",1
"can you hear me now?",1
"how about now, on the?",1
"now?",1
"is that okay?",1
"hello?",1
"can you hear me?",1
"hello?",1
"hello?",1
"hello?",1
"hello?",1
"can you hear me?",1
"&-ah, okay, right, wait, wait just a minute.",1
"very what?",1
"can you hear me now?",1
"can you hear me?",1
"hello?",1
"hello?",1
"can you hear me?",1
"can you hear me now?",1
"can you hear me now?",1
"<can you> [>]?",1
"<yes, yes> [<], yes, yes (.) yes.",0
"can you hear <me> [>]?",1
"<yes> [<].",0
"<yes> [>]?",1
"<yes> [<], <yes> [>].",0
"<okay> [<].",1
"do you want to talk another day?",1
"okay, &-eh could you talk another day?",0
"&-eh, well, I don't know, (be)cause I'm still having another exam, like no exam, I need to make an essay (.) for my second course.",1
"<xxx> [>].",0
"<xxx one> [<], and that's a tricky one (.) for me.",1
"okay.",0
"(be)cause &+b we could talk, then, I'll try to talk with you on Sunday.",1
"on Sunday, on Sunday, evening Sunday?",0
"this Sunday, yes.",1
"this Sunday, okay.",0
"&-ah (.) &+y &+y you want to talk to me only to talk to you English, &+i is that right?",1
"&=laughs, I study more English.",0
"&=laughs, okay, but xxx you give this to your teacher on Thursday?",1
"<&-ah> [>].",1
"okay, but.",1
"okay.",0
"&-eh (.) I'll I'll try to to talk to you on, on Sunday, this Sunday.",1
"this Sunday, <in the> [>], on the evenining.",0
"<yes> [<], on the evening, what time in the evening?",1
"what time?",1
"&-eh, at &-eh eight o'clock?",0
"<eight o'clock> [>].",1
"<I'm thinking the> [<].",0
"UK time or English in Spain?",1
"United Kingdom &-eh time.",0
"sorry?",1
"xxx time?",1
"pero, I usually, after eight o'clock, nine o'clock, I'm free, so, if I finish my essay of course.",1
"okay.",0
"(be)cause it is quite tricky this one.",1
"<other time> [>].",0
"<it gets> [<] trickier and trickier, and if not this Sunday, we could talk next Sunday, if you want?",1
"or next week?",1
"on next week?",0
"<xxx> [<] Sunday?",0
"no, week, &-eh.",1
"week.",0
"I'd, I'd say it &+wa I, I leave you a, &-ahm a message onm Skype <telling> [>] whether I can talk in what day, is that okay with you?",1
"&-ah, okay, (.) I will send you a message, an e-mail.",1
"can you hear me?",1
"okay, I, I will send the, on my mail, when I can talk with you, okay.",0
"&-hm, okay, the day and the hour, ¿está bien?",1
"<vale> [<].",1
"&-uf.",0
"&-meh, thank you.",0
"<okay> [<], <bye> [>].",0
"<see you soon> [<], bye, bye!",1
"thank you.",0
"hello?",0
"&=laughs.",1
"muy bien, &-eh, we start the practising, before you could speak slowly during the exercise, please?",0
"&=laughs.",0
"okay, y.",1
"to complete my exercise, before describing the pictures I have to get &-eh some questions, as the &+fir, okay?",0
"English to you now, yeah?",0
"okay.",0
"&-eh, what degree does &-eh, you study?",0
"&-uhm, I'm doing european business with Spanish.",1
"bien.",0
"okay, &-eh, was, what does, &-eh, you study Spanish?",0
"&-uhm, I study Spanish because I think the language is, the, it's a beautiful language.",1
"okay.",0
"and I'm very interested in the culture.",1
"okay, &-eh, how long has you, has you been studying Spanish?",0
"&-uhm, I've studied Spanish for about, (.) five years now?",1
"okay, (.) &-eh, what do, what does, &-eh, you think about, &-eh, her university?",0
"&-uhm, I, I love it, I think it's, it's a very, very positive university.",1
"&-uhm, it's also a very sociable university, and you can interact with a lot of people and the, the course is very interesting.",1
"there's a lot of options available.",1
"okay.",0
"&-eh, where are you from?",0
"&-uhm, well, I'm from, I'm irish, except I used to &-eh, I used to live in Belgium, until about, &-eh, until I was about seventeen years old.",1
"okay.",0
"then I came here.",1
"&-eh, where does you live &-eh, nowdays?",0
"&-uhm, what do I like to do in my free time?",1
"no, &-eh, where does you live &-eh, actually?",0
"right now?",1
"yea, exactly.",0
"&-eh, I live in Ireland, I live in Castle Market, it's just on the west of Dublin.",1
"okay, &-eh, is the first time &-eh, to use, the Skype?",0
"&-uhm actually no, I talk to my parents on Skype, almost every night.",1
"&-ah, okay.",0
"I talk to some friends from back home as well.",1
"okay, have you got questions for me?",0
"okay.",1
"&=laughs.",1
"ah, okay, okay, yo, yo, &-eh.",1
"<&-uhhuh> [<].",0
"es muy, &-eh, muy guay?",1
"&=laughs.",0
"&-ah, okay, y, <&-eh> [>].",1
"&-ah, okay.",1
"&-ah, vale.",0
"okay, &-eh, as the first picture is in English, I am beginning, okay?",0
"yea, okay.",1
"okay.",0
"&-uhm, in the first picture, &-eh, I, I think likes an intersection of streets.",0
"your picture is on the streets also?",0
"it is, yea.",1
"yea, okay.",0
"&-eh, in the centre of the picture, there are three motorbikes in a row.",0
"how many motorbikes are in your picture?",0
"&-uhm, there's also three, actually.",1
"three, okay.",0
"&-hm, very good.",0
"&-eh, there are two red and one yellow in the middle of the two.",0
"have your picture two red motorbikes and one yellow motorbike?",0
"yea, it does as well, yea.",1
"yes, okay.",0
"is the same but, by the moment, <at the background> [>].",0
"<xxx> [<].",1
"at the background of the picture, &-uhm, there is one of the red motorbikes, I think that it looks like a racing motors bike.",0
"appears the same in your picture?",0
"yea, it is, I think it is a racing motorbike, and then, <yea> [>].",1
"<okay> [<].",0
"difference.",1
"okay.",0
"in front of the racing motorbike, there is a yellow motorbike, I think that it looks like a scooter.",0
